hed,dek,topic,outlet,date,link,ffaar,science,urbanism,meat-less,environment,culture,ideas,books,policy,featured
hed,dek,topic,outlet,date,link,"factory farming, animals, & animal rights",science,building better communities,"meat, food, & health",environment,culture,ideas,books,politics & policy,featured
One good thing the Trump administration might actually do for science,A primate research center could become a sanctuary as the NIH pushes to move biomedical research beyond animal testing.,,Vox,d:2026-02-13,https://www.vox.com/future-perfect/479043/nih-ohsu-primate-research-center-sanctuary,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
How to raise a low-income kid’s future earnings by 50 percent,The surprising impact of better-designed public housing.,,Vox,d:2026-02-06,https://www.vox.com/future-perfect/478064/public-housing-projects-hope-vi-cities-chetty,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
The hidden double standards driving our housing crisis,Apartments are safer and more affordable than single-family homes. Why do we treat them like a hazard?,,Vox,d:2026-02-04,https://www.vox.com/future-perfect/476647/housing-crisis-affordability-building-codes-yimby,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Can America build beautiful places again?,Ugliness has more to do with the housing crisis than you think.,,Vox,d:2026-01-20,https://www.vox.com/future-perfect/475362/yimby-movement-housing-abundance-beauty-aesthetics,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
The new food pyramid is lying to you,It's also a contradictory mess.,,Vox,d:2026-01-09,https://www.vox.com/future-perfect/474554/food-pyramid-dietary-guidelines-maha-protein,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
We need to grow the economy. We need to stop torching the planet. Here’s how we do both.,Let’s fix the two massive efficiency sinks in American life.,,Vox,d:2025-12,https://www.vox.com/future-perfect/472664/decoupling-abundance-growth-meat-cars,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
The surprisingly profound debate over whether fish feel pain,We can never proove that other animals are conscious. What do we do with that?,,Vox,d:2025-11,https://www.vox.com/future-perfect/469054/fish-pain-debate-sentience-consciousness,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
We love dogs as family. We also experiment on them. When will it come to an end?,The secretive dog experimentation industry is starting to crumble.,,Vox,d:2025-11,https://www.vox.com/future-perfect/466909/dog-experiments-beagles-ridglan-envigo-closing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
How soybeans took over America — and the world,"This technology could feed a world of 10 billion. We’re squandering it, and the trade war with China could make it worse.",,Vox,d:2025-10,https://www.vox.com/future-perfect/464898/trump-tariffs-china-trade-war-soybeans-exports,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
